
=== RECUPERATION DIRECTE DES 3 NIVEAUX ===

  [PROGRESSION]    0,0% | bibliotheque 0/0 | demarrage | 0 dossier(s) | fin estimee: calcul en cours
  Connecte : L'AGENCE X [https://lagencexci.sharepoint.com/sites/LAGENCEX]
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 46 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 47 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 48 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 49 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 50 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 51 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 52 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 53 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 54 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 55 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 56 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 57 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 58 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 59 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 60 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 61 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 62 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 63 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 64 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 65 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 66 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 67 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 68 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 69 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 70 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 71 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 72 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 73 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 74 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 75 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 76 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 77 dossier(s) | fin estimee: 09:25:34
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 78 dossier(s) | fin estimee: 09:25:39
  [PROGRESSION]   16,6% | bibliotheque 1/17 | dossier niveau 2 traite | 79 dossier(s) | fin estimee: 09:25:49
